faces,has_text,brightness,vibrancy,contrast,color_variety,red_dominance,sharpness,aspect_ratio,image_name
1,1,0.3511,0.1846,0.2938,85.877,0.0159,444.359,1.78,vid_1210.jpg
1,1,0.3771,0.4066,0.2088,0.0,0.0263,751.4246,1.78,vid_1211.jpg
1,1,0.4264,0.1923,0.281,71.563,0.1224,171.5553,1.78,vid_1212.jpg
0,0,0.3409,0.2012,0.2285,43.377,0.0138,105.5825,1.78,vid_1213.jpg
1,0,0.2828,0.3049,0.1933,92.631,0.2137,174.1011,1.78,vid_1214.jpg
0,1,0.397,0.2454,0.2638,62.558,0.0017,133.3902,1.78,vid_1215.jpg
0,0,0.4466,0.3215,0.286,0.0,0.0055,260.4259,1.78,vid_1216.jpg
2,1,0.3203,0.3977,0.2355,0.0,0.0895,483.8239,1.78,vid_1217.jpg
1,1,0.8996,0.5225,0.2258,0.0,0.0561,409.7639,1.78,vid_1218.jpg
0,0,0.3428,0.3689,0.242,85.934,0.2637,361.1811,1.78,vid_1219.jpg
1,1,0.177,0.6928,0.139,48.916,0.0012,237.7986,1.78,vid_122.jpg
0,0,0.4444,0.219,0.2609,88.058,0.0215,301.8071,1.78,vid_1220.jpg
0,0,0.4035,0.7541,0.1989,66.199,0.2689,503.5357,1.78,vid_1221.jpg
1,1,0.4367,0.153,0.2759,0.0,0.0084,486.0987,1.78,vid_1222.jpg
0,0,1.0,0.0,0.0,0.001,0.0,0.0,1.78,vid_1223.jpg
1,0,0.3217,0.3636,0.2014,79.84,0.2362,90.4554,1.78,vid_1224.jpg
1,1,0.3422,0.319,0.2509,0.0,0.0328,536.0743,1.78,vid_1225.jpg
0,0,0.3385,0.4427,0.2155,50.008,0.0664,414.6734,1.78,vid_1226.jpg
0,0,0.4474,0.1745,0.2641,69.762,0.0173,177.2151,1.78,vid_1227.jpg
0,0,0.4457,0.1187,0.273,33.377,0.004,176.6322,1.78,vid_1228.jpg
1,0,0.331,0.3118,0.2349,66.24,0.0296,220.4277,1.78,vid_1229.jpg
1,0,0.2764,0.6427,0.2235,74.627,0.0316,733.5456,1.78,vid_123.jpg
1,0,0.3469,0.246,0.2004,87.655,0.1222,169.5688,1.78,vid_1230.jpg
0,1,0.2323,0.2516,0.1962,51.2,0.0003,635.5607,1.78,vid_1231.jpg
0,0,0.4127,0.226,0.2938,89.53,0.1513,288.5112,1.78,vid_1232.jpg
0,1,0.3251,0.3038,0.2239,85.756,0.1768,282.8836,1.78,vid_1233.jpg
2,1,0.2947,0.4076,0.1951,0.0,0.1429,565.1258,1.78,vid_1234.jpg
0,1,0.3985,0.1549,0.2559,86.933,0.0335,546.0815,1.78,vid_1235.jpg
0,1,0.3952,0.176,0.2379,72.06,0.0047,487.802,1.78,vid_1236.jpg
2,1,0.3096,0.2223,0.2429,58.3,0.0613,330.8075,1.78,vid_1237.jpg
0,0,0.3076,0.2564,0.2038,48.148,0.0886,130.6797,1.78,vid_1238.jpg
1,1,0.3197,0.3215,0.1847,62.066,0.0746,375.5358,1.78,vid_1239.jpg
2,0,0.1855,0.217,0.142,21.853,0.0129,76.6404,1.78,vid_124.jpg
1,1,0.3481,0.2527,0.2145,59.02,0.0878,408.1167,1.78,vid_1240.jpg
0,0,0.3829,0.4292,0.2478,86.955,0.1546,372.549,1.78,vid_1241.jpg
0,0,0.2944,0.119,0.2274,17.474,0.0001,377.1277,1.78,vid_1242.jpg
0,0,0.3744,0.3589,0.2479,56.451,0.2771,181.9313,1.78,vid_1243.jpg
0,0,0.4435,0.5576,0.2513,71.877,0.004,292.4821,1.78,vid_1244.jpg
0,0,0.348,0.2632,0.284,51.495,0.1459,203.9006,1.78,vid_1245.jpg
3,0,0.4343,0.2626,0.2666,85.613,0.0526,153.2276,1.78,vid_1246.jpg
